표준 증상명,유사어 예시
"기억력 저하, 방향 감각 상실, 성격 변화","건망증, 기억력 저하, 기억이 안 남, 깜빡거림, 방향 감각 상실, 성격 변화, 자꾸 잊어버림"
"두통, 어지럼증, 특별한 증상 없음","균형 안 맞음, 두통, 머리 아픔, 머리가 띵함, 빙빙 돎, 어지러움, 지끈거림, 특별한 증상 없음, 편두통, 현기증"
"잦은 갈증, 잦은 소변, 피로감","갈증, 기운 없음, 무기력함, 물을 자주 마심, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 입이 마름, 피곤함, 피로감, 화장실 자주 감"
"호흡곤란, 피로감, 하지 부종","가슴이 답답함, 기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 숨 쉬기 힘듦, 숨이 참, 피곤함, 피로감"
"기침, 가래, 호흡곤란","가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 숨 쉬기 힘듦, 숨이 참"
"요통, 쉽게 부러지는 뼈, 키 감소","쉽게 부러지는 뼈, 요통, 키 감소"
"관절통, 뻣뻣함, 관절 소리","관절 소리, 관절통, 뻣뻣함"
"배뇨 곤란, 빈뇨, 잔뇨감","배뇨 곤란, 빈뇨, 잔뇨감"
"편측 마비, 언어장애, 시야 장애","눈 침침함, 눈이 잘 안 보임, 시야 흐림, 언어장애, 편측 마비"
"시야 흐림, 눈부심, 시력 저하","눈 침침함, 눈이 잘 안 보임, 시력 저하, 시야 흐림"
"중심 시야 흐림, 직선 왜곡","눈 침침함, 눈이 잘 안 보임, 시야 흐림, 직선 왜곡"
"무기력, 식욕 저하, 수면장애","무기력, 수면장애, 식욕 저하"
"복통, 속쓰림, 구토","구토, 복통, 속쓰림"
"배변 곤란, 복부 팽만감","배변 곤란, 복부 팽만감"
"소변 누출, 절박뇨","밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 절박뇨, 화장실 자주 감"
"손 떨림, 느린 동작, 자세 불안정","느린 동작, 손 떨림, 자세 불안정"
"청력 저하, 대화 어려움","대화 어려움, 청력 저하"
"잠들기 어려움, 자주 깨는 수면","자주 깨는 수면, 잠들기 어려움"
"가려움, 피부 벗겨짐","가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
"불규칙한 맥박, 어지럼증, 호흡곤란","가슴이 답답함, 균형 안 맞음, 불규칙한 맥박, 빙빙 돎, 숨 쉬기 힘듦, 숨이 참, 어지러움, 현기증"
"혈변, 변비, 체중감소","변비, 체중감소, 혈변"
"상복부 통증, 식욕부진, 체중감소","식욕부진, 쑤심, 아파요, 아픔, 찌릿함, 체중감소, 통증"
"통증, 움직임 제한","쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
"음식 삼키기 어려움, 기침 유발","기침, 기침이 멈추지 않음, 마른기침, 음식 삼키기 어려움"
"넘어짐, 외상, 통증","넘어짐, 쑤심, 아파요, 아픔, 외상, 찌릿함, 통증"
"복통, 설사, 변비 반복","변비 반복, 복통, 설사"
"가슴 통증, 호흡곤란, 식은땀","가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 식은땀, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"운동 시 흉통, 목/팔 통증","쑤심, 아파요, 아픔, 운동 시 흉통, 찌릿함, 통증"
"기침, 가래, 가슴 답답함","가래, 가래가 많음, 가슴 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
"발열, 기침, 가래, 호흡곤란","가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 발열, 숨 쉬기 힘듦, 숨이 참"
"피로감, 황달, 복수","기운 없음, 무기력함, 복수, 피곤함, 피로감, 황달"
"체중 감소, 복통, 피로감","기운 없음, 무기력함, 복통, 체중 감소, 피곤함, 피로감"
