표준 증상명,유사어 예시
기억력 저하,"기억력 저하 때문에 걱정이에요, 기억력 저하 증상이 계속돼요, 기억, 기억력, 기억력 저하이 생겼어요, 기억력 저하이 있어요, 기억력 저하이 반복돼요, 기억력 저하가 심해졌어요, 기억력 저하으로 병원에 가야 할 것 같아요, 기억력 저하 때문에 일상생활이 힘들어요"
방향 감각 상실,"방향 감각 상실으로 병원에 가야 할 것 같아요, 방향 감각 상실 증상이 계속돼요, 방향 감각 상실이 생겼어요, 방향 감각 상실이 심해졌어요, 방향 감각 상실이 반복돼요, 방향 감각 상실이 있어요, 방향 감각 상실 때문에 걱정이에요, 방향 감각 상실 때문에 일상생활이 힘들어요"
성격 변화,"성격 변화이 생겼어요, 성격 변화 때문에 걱정이에요, 성격 변화 때문에 일상생활이 힘들어요, 성격 변화 증상이 계속돼요, 성격 변화이 심해졌어요, 성격 변화으로 병원에 가야 할 것 같아요, 성격 변화이 있어요, 성격 변화이 반복돼요"
두통,"두통 때문에 걱정이에요, 두통 증상이 계속돼요, 두통이 생겼어요, 두통이 심해졌어요, 두통이 반복돼요, 두통 때문에 일상생활이 힘들어요, 두통이 있어요, 두통으로 병원에 가야 할 것 같아요, 머리, 뇌, 두통"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
특별한 증상 없음,"특별한 증상 없음이 심해졌어요, 특별한 증상 없음 증상이 계속돼요, 특별한 증상 없음이 생겼어요, 특별한 증상 없음이 반복돼요, 특별한 증상 없음으로 병원에 가야 할 것 같아요, 특별한 증상 없음이 있어요, 특별한 증상 없음 때문에 일상생활이 힘들어요, 특별한 증상 없음 때문에 걱정이에요"
잦은 갈증,"잦은 갈증 증상이 계속돼요, 잦은 갈증 때문에 걱정이에요, 잦은 갈증이 생겼어요, 잦은 갈증이 반복돼요, 잦은 갈증이 심해졌어요, 잦은 갈증 때문에 일상생활이 힘들어요, 잦은 갈증이 있어요, 잦은 갈증으로 병원에 가야 할 것 같아요"
잦은 소변,"잦은 소변으로 병원에 가야 할 것 같아요, 잦은 소변이 심해졌어요, 잦은 소변 때문에 걱정이에요, 잦은 소변이 있어요, 잦은 소변이 생겼어요, 잦은 소변 때문에 일상생활이 힘들어요, 잦은 소변이 반복돼요, 잦은 소변 증상이 계속돼요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
하지 부종,"하지 부종 증상이 계속돼요, 하지 부종이 있어요, 하지 부종 때문에 일상생활이 힘들어요, 하지 부종이 반복돼요, 하지 부종이 심해졌어요, 하지 부종이 생겼어요, 하지 부종 때문에 걱정이에요, 하지 부종으로 병원에 가야 할 것 같아요"
기침,"기침이 반복돼요, 기침이 생겼어요, 기침 증상이 계속돼요, 기침이 심해졌어요, 기침으로 병원에 가야 할 것 같아요, 기침 때문에 걱정이에요, 기침이 있어요, 기침소리, 기침 때문에 일상생활이 힘들어요, 기침"
가래,"가래이 반복돼요, 가래이 있어요, 가래 때문에 걱정이에요, 가래 때문에 일상생활이 힘들어요, 가래이 심해졌어요, 가래으로 병원에 가야 할 것 같아요, 가래 증상이 계속돼요, 가래이 생겼어요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
요통,"요통 때문에 걱정이에요, 요통 증상이 계속돼요, 요통 때문에 일상생활이 힘들어요, 요통이 있어요, 허리, 요통이 심해졌어요, 요통이 생겼어요, 요통, 요통이 반복돼요, 요통으로 병원에 가야 할 것 같아요"
쉽게 부러지는 뼈,"쉽게 부러지는 뼈 증상이 계속돼요, 쉽게 부러지는 뼈이 있어요, 쉽게 부러지는 뼈이 생겼어요, 쉽게 부러지는 뼈이 반복돼요, 쉽게 부러지는 뼈 때문에 일상생활이 힘들어요, 쉽게 부러지는 뼈 때문에 걱정이에요, 쉽게 부러지는 뼈으로 병원에 가야 할 것 같아요, 쉽게 부러지는 뼈이 심해졌어요"
키 감소,"키 감소으로 병원에 가야 할 것 같아요, 키 감소 때문에 걱정이에요, 키 감소이 생겼어요, 키 감소이 심해졌어요, 키 감소 때문에 일상생활이 힘들어요, 키 감소이 있어요, 키 감소이 반복돼요, 키 감소 증상이 계속돼요"
관절통,"관절통 때문에 걱정이에요, 관절통 때문에 일상생활이 힘들어요, 관절통이 반복돼요, 관절통으로 병원에 가야 할 것 같아요, 관절통이 심해졌어요, 관절통 증상이 계속돼요, 관절통이 생겼어요, 관절통이 있어요"
뻣뻣함,"뻣뻣함이 반복돼요, 뻣뻣함이 생겼어요, 뻣뻣함 때문에 일상생활이 힘들어요, 뻣뻣함이 심해졌어요, 뻣뻣함으로 병원에 가야 할 것 같아요, 뻣뻣함이 있어요, 뻣뻣함 증상이 계속돼요, 뻣뻣함 때문에 걱정이에요"
관절 소리,"관절 소리으로 병원에 가야 할 것 같아요, 관절 소리이 있어요, 관절 소리이 생겼어요, 관절 소리 때문에 걱정이에요, 관절 소리이 심해졌어요, 관절 소리 때문에 일상생활이 힘들어요, 관절 소리 증상이 계속돼요, 관절 소리이 반복돼요"
배뇨 곤란,"배뇨 곤란 때문에 걱정이에요, 배뇨 곤란이 반복돼요, 배뇨 곤란으로 병원에 가야 할 것 같아요, 배뇨 곤란이 심해졌어요, 배뇨 곤란이 생겼어요, 배뇨 곤란 증상이 계속돼요, 배뇨 곤란 때문에 일상생활이 힘들어요, 배뇨 곤란이 있어요"
빈뇨,"빈뇨이 반복돼요, 빈뇨이 생겼어요, 빈뇨 증상이 계속돼요, 빈뇨 때문에 걱정이에요, 빈뇨이 심해졌어요, 빈뇨이 있어요, 빈뇨으로 병원에 가야 할 것 같아요, 빈뇨 때문에 일상생활이 힘들어요"
잔뇨감,"잔뇨감이 반복돼요, 잔뇨감 때문에 걱정이에요, 잔뇨감이 있어요, 잔뇨감이 심해졌어요, 잔뇨감 증상이 계속돼요, 잔뇨감이 생겼어요, 잔뇨감으로 병원에 가야 할 것 같아요, 잔뇨감 때문에 일상생활이 힘들어요"
편측 마비,"편측 마비이 심해졌어요, 편측 마비 증상이 계속돼요, 편측 마비이 생겼어요, 편측 마비이 반복돼요, 편측 마비이 있어요, 편측 마비으로 병원에 가야 할 것 같아요, 편측 마비 때문에 걱정이에요, 편측 마비 때문에 일상생활이 힘들어요"
